patronyme,count
ABAD,344
ABADIE,1483
ABBAS,368
ABBOU,325
ABDALLAH,766
ABDELLAOUI,283
ABDELLI,277
ABDI,258
ABDOU,608
ABECASSIS,280
ABED,314
ABEL,357
ABGRALL,348
ABID,393
ABIDI,327
ABITBOL,543
ABRAHAM,763
ABRIAL,271
ACHARD,972
ACHOUR,453
ACKER,257
ACKERMANN,312
ACQUAVIVA,272
ADAM,3828
ADDA,282
ADEL,337
ADELAIDE,253
ADOLPHE,628
AFONSO,592
AGOSTINI,698
AGUILAR,520
AHAMADA,272
AHMED,818
AIELLO,252
AILLAUD,276
AIME,547
AISSAOUI,487
ALARCON,372
ALARY,520
ALAUX,331
ALAZARD,267
ALBA,264
ALBERT,2660
ALBERTI,340
ALBERTINI,780
ALBOUY,471
ALBRECHT,324
ALCARAZ,384
ALEXANDRE,2735
ALEXIS,501
ALFONSI,343
ALI,980
ALIBERT,839
ALIX,957
ALLAIN,1975
ALLAIRE,529
ALLAIS,518
ALLALI,286
ALLANIC,278
ALLARD,2239
ALLART,457
ALLEAUME,296
ALLEGRE,647
ALLEMAND,805
ALLIER,281
ALLIOT,384
ALLOUCHE,794
ALMEIDA,408
ALMERAS,259
ALONSO,988
ALOUI,249
ALPHONSE,267
ALQUIER,365
ALRIC,298
ALVAREZ,1110
ALVES,1659
AMADOR,332
AMALRIC,260
AMAND,271
AMAR,1196
AMARA,545
AMARI,251
AMAT,379
AMATO,286
AMBLARD,651
AMBROISE,352
AMELINE,321
AMIEL,726
AMIOT,811
AMMAR,358
AMOROS,307
AMOUROUX,388
AMOUYAL,272
AMRANI,310
AMRI,793
AMSELLEM,681
ANCEL,522
ANCELIN,403
ANDRE,7822
ANDREANI,475
ANDRES,779
ANDREU,379
ANDRIEU,1992
ANDRIEUX,1350
ANGELI,324
ANGELINI,250
ANGER,472
ANGLADE,739
ANGLES,267
ANGOT,686
ANNE,669
ANQUETIL,507
ANSEL,323
ANSELME,319
ANTOINE,2672
ANTON,565
ANTONI,322
ANTONINI,351
ANTONIO,270
ANTUNES,658
ARAB,338
ARAGON,252
ARAUJO,318
ARCHAMBAULT,376
ARCHER,259
ARDOUIN,432
ARENAS,342
ARMAND,1470
ARMENGAUD,286
ARNAL,1037
ARNAUD,6260
ARNAULT,607
ARNOLD,666
ARNOULD,1280
ARNOULT,542
ARNOUX,1252
ARRIGHI,268
ARSAC,349
ARSLAN,468
ARTAUD,432
ARTUS,322
ASLAN,364
ASSELIN,379
ASSIE,300
ASSOULINE,312
ASTIER,1150
ASTRUC,672
ATLAN,576
ATTAL,568
ATTALI,415
ATTARD,376
ATTIA,666
ATTIAS,247
ATTOUMANI,314
AUBE,361
AUBER,266
AUBERT,5225
AUBERTIN,559
AUBIN,1225
AUBINEAU,310
AUBREE,313
AUBRUN,291
AUBRY,3412
AUCLAIR,635
AUDEBERT,600
AUDIBERT,891
AUDOIN,344
AUDOUARD,309
AUDOUIN,466
AUDRAIN,302
AUDRAN,259
AUDUREAU,278
AUFFRAY,537
AUFFRET,927
AUGE,971
AUGER,1860
AUGEREAU,516
AUGIER,746
AUGUSTE,721
AUGUSTIN,607
AUMONT,406
AUPETIT,322
AURIOL,397
AUTHIER,416
AUTRET,450
AUVRAY,1008
AVELINE,366
AVENEL,518
AVERTY,265
AVIGNON,355
AVRIL,1132
AYACHE,426
AYAD,327
AYADI,434
AYARI,336
AYDIN,508
AYMARD,529
AYME,385
AYRAULT,263
AZAIS,619
AZAM,269
AZEMA,512
AZNAR,305
AZOULAY,928
AZZOPARDI,274
AZZOUZ,282
BA,746
BABIN,1015
BACAR,288
BACH,875
BACHA,248
BACHELET,768
BACHELIER,589
BACON,294
BACQUE,248
BACQUET,500
BADER,330
BADET,283
BADIN,421
BADUEL,256
BAERT,450
BAGOT,279
BAH,473
BAHRI,262
BAILLE,330
BAILLET,911
BAILLEUL,988
BAILLEUX,337
BAILLON,427
BAILLOT,282
BAILLY,3497
BAL,401
BALLAND,746
BALLESTER,428
BALLET,602
BALLOT,307
BALLY,318
BANNIER,301
BAPTISTA,254
BAPTISTE,1128
BAQUE,379
BAR,353
BARA,409
