prenom,genre,count
A,M,27
AADAM,M,32
AADEL,M,57
AADHIRA,F,22
AADIL,M,190
AAHIL,M,28
AAKASH,M,28
AALEYAH,F,28
AALIA,F,45
AALIYA,F,238
AALIYAH,F,2945
AALYA,F,144
AALYAH,F,244
AAMIR,M,20
AANOR,F,43
AARAV,M,24
AARICIA,F,43
AARISH,M,20
AARON,MF,31714
AARONE,M,177
AARONN,M,118
AAROUN,M,51
AARRON,M,21
AARUSH,M,58
AATHIRA,F,20
AATHIRAN,M,20
AAYA,F,51
AAYAN,M,96
AAZIZ,M,30
AB,M,75
AB-DEL,M,45
ABA,M,24
ABABACAR,M,75
ABAKAR,M,34
ABAN,M,21
ABANE,M,21
ABAS,M,49
ABASS,M,127
ABASSE,M,117
ABASSIA,F,27
ABBA,M,22
ABBAS,M,283
ABBASS,M,21
ABBES,M,301
ABBIE,F,280
ABBIGAELLE,F,34
ABBIGAËLLE,F,20
ABBY,F,2329
ABBY-GAELLE,F,117
ABBY-GAËLLE,F,124
ABBYGAEL,F,131
ABBYGAELLE,F,400
ABBYGAIL,F,115
ABBYGAËL,F,140
ABBYGAËLLE,F,393
ABBYGAÏL,F,33
ABD,M,1612
ABD'ALLAH,M,51
ABD-ALLAH,M,175
ABD-AR-RAHMAN,M,20
ABD-EL,M,480
ABD-EL-KADER,M,51
ABD-EL-KRIM,M,24
ABD-EL-RAHMAN,M,21
ABD-RAHIM,M,20
ABD-RAHMAN,M,41
ABD-SAMAD,M,25
ABDALA,M,75
ABDALAH,M,221
ABDALAYE,M,41
ABDALHA,M,28
ABDALLA,M,87
ABDALLAH,M,6080
ABDALRAHMAN,M,25
ABDARAHIM,M,21
ABDARAHMAN,M,37
ABDARAHMANE,M,35
ABDARRAHMAN,M,46
ABDASSAMAD,M,28
ABDE,M,186
ABDEL,M,4709
ABDEL-AKIM,M,84
ABDEL-ALI,M,107
ABDEL-AZIZ,M,238
ABDEL-DJALIL,M,48
ABDEL-GHANI,M,52
ABDEL-HADI,M,39
ABDEL-HAFID,M,106
ABDEL-HAK,M,31
ABDEL-HAKIM,M,443
ABDEL-HALIM,M,176
ABDEL-HAMID,M,218
ABDEL-ILAH,M,85
ABDEL-ILLAH,M,76
ABDEL-JALIL,M,110
ABDEL-KADER,M,461
ABDEL-KARIM,M,463
ABDEL-KRIM,M,129
ABDEL-LATIF,M,45
ABDEL-MADJID,M,94
ABDEL-MAGID,M,21
ABDEL-MAJID,M,121
ABDEL-MALEK,M,205
ABDEL-MALIK,M,455
ABDEL-MOUMEN,M,25
ABDEL-NACER,M,36
ABDEL-NASSER,M,84
ABDEL-NOUR,M,77
ABDEL-RAHIM,M,99
ABDEL-RAHMAN,M,162
ABDEL-RAHMANE,M,89
ABDEL-RAHMEN,M,35
ABDEL-RANI,M,50
ABDEL-RAOUF,M,47
ABDEL-SALEM,M,33
ABDEL-SAMAD,M,83
ABDEL-WAHAB,M,56
ABDEL-WAHEB,M,30
ABDEL-WAHID,M,41
ABDEL-WAKIL,M,20
ABDELA,M,75
ABDELAALI,M,37
ABDELADIM,M,26
ABDELAFID,M,34
ABDELAH,M,227
ABDELAKIM,M,121
ABDELALI,M,481
ABDELALIM,M,26
ABDELAMID,M,26
ABDELATIF,M,468
ABDELAZIZ,M,2268
ABDELAZIZE,M,120
ABDELAZZIZ,M,45
ABDELBAKI,M,76
ABDELBASET,M,22
ABDELBASSET,M,102
ABDELDJALIL,M,147
ABDELDJALLIL,M,25
ABDELFATAH,M,118
ABDELFATTAH,M,67
ABDELFETAH,M,38
ABDELFETTAH,M,25
ABDELGHAFOUR,M,42
ABDELGHANI,M,543
ABDELHA,M,38
ABDELHADI,M,378
ABDELHAFED,M,25
ABDELHAFID,M,777
ABDELHAFIDE,M,30
ABDELHAK,M,921
ABDELHAKE,M,39
ABDELHAKIM,M,1527
ABDELHAKIME,M,42
ABDELHALI,M,45
ABDELHALIM,M,626
ABDELHALIME,M,40
ABDELHAMED,M,54
ABDELHAMID,M,1117
ABDELHAMIDE,M,21
ABDELHAQ,M,26
ABDELHATIF,M,40
ABDELHAY,M,32
ABDELHAZIZ,M,92
ABDELHEDI,M,24
ABDELHOUAB,M,39
ABDELILAH,M,379
ABDELILLAH,M,159
ABDELJABAR,M,29
ABDELJALIL,M,503
ABDELJALILE,M,20
ABDELJALLIL,M,25
ABDELJAWAD,M,22
ABDELKABIR,M,20
ABDELKADER,M,10120
ABDELKAMEL,M,23
ABDELKARIM,M,1524
ABDELKARIME,M,34
ABDELKEBIR,M,25
ABDELKERIM,M,30
ABDELKHADER,M,50
ABDELKHALEK,M,64
ABDELKRIM,M,2422
ABDELKRIME,M,81
ABDELLA,M,97
ABDELLAH,M,2803
ABDELLALI,M,54
ABDELLATIF,M,617
ABDELLAZIZ,M,148
ABDELMADJID,M,362
ABDELMAGID,M,90
ABDELMAGIDE,M,20
ABDELMAJID,M,833
ABDELMAJIDE,M,24
ABDELMALEK,M,868
ABDELMALIK,M,933
ABDELMATINE,M,25
